BASIN,ISO_TIME_________,NATURE,LAT,LON,DS824 WIND
"","","","degrees north","degrees east","kts"
"NI","1907-06-18 00:00:00","TS","20.80","67.00","64"
"NI","03:00:00","TS","20.87","66.83","64"
"NI","06:00:00","TS","20.96","66.60","64"
"NI","09:00:00","TS","21.05","66.39","64"
"NI","12:00:00","TS","21.14","66.20","64"
"NI","15:00:00","TS","21.27","66.01","64"
"NI","18:00:00","TS","21.41","65.87","64"
"NI","21:00:00","TS","21.56","65.76","64"
"NI","1907-06-19 00:00:00","TS","21.71","65.71","64"
"NI","03:00:00","TS","21.90","65.74","64"
"NI","06:00:00","TS","22.09","65.82","64"
"NI","09:00:00","TS","22.30","65.92","64"
"NI","12:00:00","TS","22.50","66.03","64"
"NI","15:00:00","TS","22.70","66.15","64"
"NI","18:00:00","TS","22.88","66.25","64"
"NI","21:00:00","TS","23.04","66.35","64"
"NI","1907-06-20 00:00:00","TS","23.19","66.44","64"
"NI","03:00:00","NR","23.30","66.50",""
