BASIN,ISO_TIME_________,NATURE,LAT,LON,WMO WIND,WMO PRES,USA WIND,USA PRES,TOKYO WIND,TOKYO PRES,CMA WIND,CMA PRES,HKO WIND,HKO PRES
"","","","degrees north","degrees east","kts","mb","kts","mb","kts","mb","kts","mb","kts","mb"
"WP","2009-07-31 12:00:00","TS","15.70","129.80","","","","","","","29","994","",""
"WP","15:00:00","TS","15.90","128.91","","","","","","","29","993","",""
"WP","18:00:00","TS","16.08","127.88","","","","","","","29","992","30","992"
"WP","21:00:00","TS","16.28","126.98","","","","","","","29","992","30","992"
"WP","2009-08-01 00:00:00","TS","16.50","126.10","","","","","","","29","992","30","992"
"WP","03:00:00","TS","16.74","125.19","","","","","","","29","992","30","992"
"WP","06:00:00","TS","16.91","124.18","","992","","","","992","29","992","30","992"
"WP","09:00:00","TS","17.05","123.34","","","","","","993","29","992","30","992"
"WP","12:00:00","TS","17.15","122.52","","994","","","","994","29","992","30","992"
"WP","15:00:00","TS","17.19","121.60","","","","","","994","29","992","30","992"
"WP","18:00:00","TS","17.29","120.55","","994","20","1007","","994","29","992","30","992"
"WP","21:00:00","TS","17.42","119.46","","","20","1007","","994","29","992","30","992"
"WP","2009-08-02 00:00:00","TS","17.52","118.50","","994","20","1007","","994","29","992","30","992"
"WP","03:00:00","TS","17.58","117.80","","","22","1005","","993","31","992","31","991"
"WP","06:00:00","TS","17.65","117.28","","992","25","1004","","992","34","992","32","991"
"WP","09:00:00","TS","17.71","116.89","","","25","998","","992","34","992","32","991"
"WP","12:00:00","TS","17.80","116.62","","992","25","993","","992","34","992","32","991"
"WP","15:00:00","TS","17.92","116.40","","","27","992","","992","34","992","32","991"
"WP","18:00:00","TS","18.07","116.25","","992","30","991","","992","34","992","32","991"
"WP","21:00:00","TS","18.24","116.16","","","30","989","","993","34","992","32","991"
"WP","2009-08-03 00:00:00","TS","18.47","116.08","","994","30","988","","994","34","992","32","991"
"WP","03:00:00","TS","18.84","115.94","","","30","989","","994","34","992","32","991"
"WP","06:00:00","TS","19.23","115.78","","994","30","990","","994","34","992","32","991"
"WP","09:00:00","TS","19.51","115.60","","","30","990","","993","34","991","33","990"
"WP","12:00:00","TS","19.75","115.35","35","992","30","990","35","992","34","990","35","990"
"WP","15:00:00","TS","19.96","114.94","","","32","991","35","992","36","990","35","990"
"WP","18:00:00","TS","20.15","114.55","35","992","35","992","35","992","38","990","35","990"
"WP","21:00:00","TS","20.35","114.33","","","37","991","35","992","41","987","37","987"
"WP","2009-08-04 00:00:00","TS","20.58","114.20","35","992","40","991","35","992","44","985","40","985"
"WP","03:00:00","TS","20.85","114.08","","","40","993","37","991","46","982","42","982"
"WP","06:00:00","TS","21.12","113.95","40","990","40","996","40","990","48","980","45","980"
"WP","09:00:00","TS","21.34","113.76","","","40","994","40","990","51","977","47","977"
"WP","12:00:00","TS","21.50","113.53","40","990","40","993","40","990","54","975","50","975"
"WP","15:00:00","TS","21.62","113.27","","","42","991","40","990","51","977","50","977"
"WP","18:00:00","TS","21.70","113.03","40","990","45","989","40","990","48","980","50","980"
"WP","21:00:00","TS","21.75","112.84","","","35","996","40","990","48","980","50","980"
"WP","2009-08-05 00:00:00","TS","21.80","112.70","40","990","25","1004","40","990","48","980","50","980"
"WP","03:00:00","TS","21.90","112.57","","","25","1004","40","990","46","982","47","982"
"WP","06:00:00","TS","22.00","112.45","40","990","25","1004","40","990","44","985","45","985"
"WP","09:00:00","TS","22.05","112.34","","","22","1005","40","990","41","985","42","985"
"WP","12:00:00","TS","22.08","112.23","40","990","20","1007","40","990","38","985","40","986"
"WP","15:00:00","TS","22.08","112.12","","","17","1008","37","990","36","985","37","986"
"WP","18:00:00","TS","22.07","111.98","35","990","15","1010","35","990","34","985","35","987"
"WP","21:00:00","TS","22.08","111.74","","","15","1010","35","990","34","985","35","987"
"WP","2009-08-06 00:00:00","TS","22.08","111.48","35","990","15","1010","35","990","34","985","35","988"
"WP","03:00:00","TS","22.06","111.24","","","15","1010","","990","34","985","32","988"
"WP","06:00:00","TS","21.97","110.98","","990","15","1010","","990","34","985","30","989"
"WP","09:00:00","TS","21.77","110.63","","","15","1010","","990","36","984","30","989"
"WP","12:00:00","TS","21.50","110.33","","990","15","1010","","990","38","983","30","989"
"WP","15:00:00","TS","21.26","110.17","","","17","1008","","990","38","983","30","989"
"WP","18:00:00","TS","21.02","110.05","","990","20","1007","","990","38","983","30","989"
"WP","21:00:00","TS","20.81","109.89","","","20","1007","","990","43","977","30","989"
"WP","2009-08-07 00:00:00","TS","20.60","109.70","","990","20","1007","","990","48","972","30","989"
"WP","03:00:00","TS","20.39","109.46","","","20","1007","","990","51","972","30","989"
"WP","06:00:00","TS","20.20","109.23","35","990","20","1007","35","990","54","972","30","989"
"WP","09:00:00","TS","20.03","109.03","","","22","1005","35","990","49","978","30","989"
"WP","12:00:00","TS","19.88","108.85","35","990","25","1004","35","990","44","985","30","989"
"WP","15:00:00","TS","19.71","108.68","","","30","999","35","990","41","985","32","987"
"WP","18:00:00","TS","19.55","108.53","35","990","35","994","35","990","38","985","35","985"
"WP","21:00:00","TS","19.39","108.41","","","32","997","35","990","38","985","35","985"
"WP","2009-08-08 00:00:00","TS","19.20","108.30","35","990","30","1000","35","990","38","985","35","985"
"WP","03:00:00","TS","18.98","108.15","","","30","999","","991","36","985","35","985"
"WP","06:00:00","TS","18.72","108.08","","992","30","999","","992","34","985","35","985"
"WP","09:00:00","TS","18.41","108.10","","","25","1003","","992","34","985","35","985"
"WP","12:00:00","TS","18.12","108.35","","992","20","1007","","992","34","985","35","985"
"WP","15:00:00","TS","17.89","108.94","","","20","1007","","993","31","987","35","985"
"WP","18:00:00","TS","17.78","109.75","","994","20","1007","","994","29","990","35","985"
