BASIN,ISO_TIME_________,NATURE,LAT,LON,USA WIND,USA PRES
"","","","degrees north","degrees east","kts","mb"
"EP","2021-06-03 18:00:00","NR","10.80","-105.60","15",""
"EP","21:00:00","NR","11.06","-105.73","15",""
"EP","2021-06-04 00:00:00","NR","11.30","-105.90","15",""
"EP","03:00:00","NR","11.52","-106.15","15",""
"EP","06:00:00","NR","11.70","-106.40","15",""
"EP","09:00:00","NR","11.86","-106.57","17",""
"EP","12:00:00","DS","12.00","-106.70","20","1009"
"EP","15:00:00","DS","12.11","-106.81","20","1009"
"EP","18:00:00","DS","12.20","-106.90","20","1009"
"EP","21:00:00","DS","12.29","-106.98","22","1008"
"EP","2021-06-05 00:00:00","DS","12.40","-107.10","25","1008"
"EP","03:00:00","DS","12.54","-107.33","25","1007"
"EP","06:00:00","DS","12.70","-107.60","25","1007"
"EP","09:00:00","DS","12.86","-107.90","25","1007"
"EP","12:00:00","DS","13.00","-108.00","25","1007"
"EP","15:00:00","DS","13.14","-107.55","25","1007"
"EP","18:00:00","DS","13.20","-107.10","25","1007"
"EP","21:00:00","DS","13.11","-107.20","25","1007"
"EP","2021-06-06 00:00:00","NR","13.00","-107.50","25","1007"
"EP","03:00:00","NR","12.99","-107.71","25","1007"
"EP","06:00:00","DS","13.00","-107.90","25","1007"
"EP","09:00:00","DS","12.98","-107.99","25","1007"
"EP","12:00:00","DS","13.00","-108.10","25","1007"
"EP","15:00:00","DS","13.11","-108.39","25","1007"
"EP","18:00:00","DS","13.20","-108.70","25","1007"
"EP","21:00:00","DS","13.16","-108.87","25","1007"
"EP","2021-06-07 00:00:00","DS","13.10","-109.00","25","1007"
"EP","03:00:00","DS","13.09","-109.14","25","1007"
"EP","06:00:00","DS","13.10","-109.30","25","1008"
"EP","09:00:00","DS","13.10","-109.49","25","1008"
"EP","12:00:00","DS","13.10","-109.70","25","1008"
"EP","15:00:00","DS","13.11","-109.96","27","1008"
"EP","18:00:00","DS","13.10","-110.20","30","1008"
"EP","21:00:00","DS","13.08","-110.37","27","1008"
"EP","2021-06-08 00:00:00","DS","13.00","-110.50","25","1008"
"EP","03:00:00","DS","12.81","-110.60","25","1008"
"EP","06:00:00","DS","12.60","-110.70","25","1008"
"EP","09:00:00","DS","12.47","-110.82","25","1008"
"EP","12:00:00","DS","12.40","-111.00","25","1008"
"EP","15:00:00","DS","12.39","-111.28","25","1008"
"EP","18:00:00","DS","12.40","-111.60","25","1008"
"EP","21:00:00","DS","12.41","-111.91","25","1008"
"EP","2021-06-09 00:00:00","DS","12.40","-112.20","25","1008"
"EP","03:00:00","DS","12.36","-112.46","25","1008"
"EP","06:00:00","DS","12.30","-112.70","25","1008"
"EP","09:00:00","DS","12.21","-112.95","25","1008"
"EP","12:00:00","DS","12.10","-113.20","25","1008"
"EP","15:00:00","DS","11.94","-113.45","25","1008"
"EP","18:00:00","DS","11.80","-113.70","25","1008"
"EP","21:00:00","DS","11.73","-113.95","25","1008"
"EP","2021-06-10 00:00:00","DS","11.70","-114.20","25","1008"
"EP","03:00:00","DS","11.70","-114.43","25","1008"
"EP","06:00:00","DS","11.70","-114.70","25","1008"
"EP","09:00:00","DS","11.67","-115.08","27","1008"
"EP","12:00:00","DS","11.60","-115.50","30","1008"
"EP","15:00:00","DS","11.45","-115.89","27","1008"
"EP","18:00:00","DS","11.30","-116.30","25","1009"
"EP","21:00:00","DS","11.24","-116.73","25","1009"
"EP","2021-06-11 00:00:00","DS","11.20","-117.20","25","1009"
"EP","03:00:00","DS","11.09","-117.72","25","1009"
"EP","06:00:00","DS","11.00","-118.20","25","1009"
"EP","09:00:00","DS","10.98","-118.53","25","1009"
"EP","12:00:00","DS","11.00","-118.80","25","1009"
"EP","15:00:00","DS","11.04","-119.08","25","1009"
"EP","18:00:00","DS","11.10","-119.40","25","1009"
"EP","21:00:00","DS","11.16","-119.82","25","1009"
"EP","2021-06-12 00:00:00","DS","11.20","-120.30","25","1009"
"EP","03:00:00","DS","11.18","-120.80","25","1009"
"EP","06:00:00","DS","11.20","-121.30","25","1009"
"EP","09:00:00","DS","11.38","-121.74","27","1008"
"EP","12:00:00","DS","11.60","-122.20","30","1007"
"EP","15:00:00","DS","11.72","-122.75","30","1006"
"EP","18:00:00","TS","11.80","-123.30","30","1006"
"EP","21:00:00","TS","11.86","-123.79","32","1005"
"EP","2021-06-13 00:00:00","TS","11.90","-124.25","35","1005"
"EP","03:00:00","TS","11.91","-124.63","37","1003"
"EP","06:00:00","TS","11.90","-124.96","40","1002"
"EP","09:00:00","TS","11.89","-125.29","42","1001"
"EP","12:00:00","TS","11.86","-125.63","45","1000"
"EP","15:00:00","TS","11.82","-125.96","45","1000"
"EP","18:00:00","TS","11.76","-126.28","45","1000"
"EP","21:00:00","TS","11.70","-126.57","42","1000"
"EP","2021-06-14 00:00:00","TS","11.65","-126.85","40","1001"
"EP","03:00:00","TS","11.58","-127.12","37","1002"
"EP","06:00:00","TS","11.50","-127.45","35","1004"
"EP","09:00:00","TS","11.44","-127.91","35","1004"
"EP","12:00:00","TS","11.35","-128.45","35","1004"
"EP","15:00:00","TS","11.19","-129.04","32","1005"
"EP","18:00:00","TS","11.00","-129.60","30","1007"
"EP","21:00:00","TS","10.80","-130.02","30","1007"
"EP","2021-06-15 00:00:00","TS","10.60","-130.40","30","1007"
"EP","03:00:00","TS","10.38","-130.84","30","1007"
"EP","06:00:00","TS","10.20","-131.30","30","1007"
"EP","09:00:00","TS","10.11","-131.75","30","1007"
"EP","12:00:00","TS","10.05","-132.20","30","1007"
"EP","15:00:00","TS","9.98","-132.66","30","1007"
"EP","18:00:00","TS","9.90","-133.10","30","1007"
"EP","21:00:00","TS","9.79","-133.51","30","1007"
"EP","2021-06-16 00:00:00","TS","9.65","-133.90","30","1007"
"EP","03:00:00","TS","9.47","-134.28","30","1007"
"EP","06:00:00","TS","9.25","-134.60","30","1007"
"EP","09:00:00","TS","8.99","-134.83","27","1007"
"EP","12:00:00","DS","8.70","-135.00","25","1008"
